timestamp,fwd,bwd,bwd_inner,bwd_allreduce,step
"2024-12-09 11:57:03,267",2972.5,1301.83,1263.06,38.54,62.64
"2024-12-09 11:57:03,484",38.75,67.68,47.56,19.98,14.4
"2024-12-09 11:57:03,685",36.21,66.67,50.97,15.47,1.64
"2024-12-09 11:57:03,886",36.24,65.05,44.81,20.06,1.62
"2024-12-09 11:57:04,087",37.09,70.08,51.79,18.03,1.62
"2024-12-09 11:57:04,294",36.73,73.27,42.39,30.74,1.55
"2024-12-09 11:57:04,488",36.15,63.74,42.25,21.35,1.55
"2024-12-09 11:57:04,683",36.46,61.06,48.56,12.26,1.6
"2024-12-09 11:57:04,878",36.48,60.01,55.25,4.44,1.62
"2024-12-09 11:57:05,064",36.68,53.16,49.11,3.8,1.62
"2024-12-09 11:57:05,243",36.76,46.21,42.13,3.91,1.52
"2024-12-09 11:57:05,422",36.35,46.18,42.34,3.65,1.57
"2024-12-09 11:57:05,622",41.31,46.97,42.35,4.45,3.46
"2024-12-09 11:57:05,863",51.77,47.13,42.52,4.34,3.63
"2024-12-09 11:57:06,090",49.41,46.91,42.87,3.81,1.7
"2024-12-09 11:57:06,335",54.52,47.4,42.66,4.51,3.7
"2024-12-09 11:57:06,581",52.64,47.58,42.74,4.64,3.66
"2024-12-09 11:57:06,779",41.85,46.33,42.39,3.78,1.66
"2024-12-09 11:57:06,966",37.77,49.57,45.02,4.37,1.61
"2024-12-09 11:57:07,150",37.63,46.82,42.38,4.28,1.81
"2024-12-09 11:57:07,335",37.73,46.42,42.5,3.78,1.54
"2024-12-09 11:57:07,518",37.19,46.33,42.29,3.9,1.73
"2024-12-09 11:57:07,700",37.38,46.71,42.53,4.02,1.54
"2024-12-09 11:57:07,882",37.18,46.18,42.41,3.62,1.67
"2024-12-09 11:57:08,099",47.17,47.29,42.51,4.59,3.85
"2024-12-09 11:57:08,344",52.68,47.33,42.6,4.53,3.57
"2024-12-09 11:57:08,582",51.81,47.18,42.62,4.35,3.59
"2024-12-09 11:57:08,822",51.46,47.5,42.72,4.52,3.93
"2024-12-09 11:57:09,057",51.03,46.62,42.68,3.74,1.6
"2024-12-09 11:57:09,239",36.07,50.95,42.3,8.52,1.54
"2024-12-09 11:57:09,423",36.72,47.8,42.37,5.23,1.59
"2024-12-09 11:57:09,608",38.62,46.64,42.31,4.18,1.66
"2024-12-09 11:57:09,793",37.37,47.01,42.06,4.8,1.54
"2024-12-09 11:57:09,977",37.1,46.26,42.39,3.73,1.56
"2024-12-09 11:57:10,159",37.54,46.67,42.06,4.46,1.53
"2024-12-09 11:57:10,343",37.23,47.42,42.19,5.08,1.54
"2024-12-09 11:57:10,525",37.07,47.22,42.65,4.41,1.56
"2024-12-09 11:57:10,709",37.85,47.34,42.79,4.37,1.53
"2024-12-09 11:57:10,891",37.12,46.23,42.46,3.63,1.55
"2024-12-09 11:57:11,072",37.39,46.23,42.47,3.6,1.55
"2024-12-09 11:57:11,255",37.06,46.8,42.58,4.05,1.56
"2024-12-09 11:57:11,437",37.03,46.37,42.22,3.98,1.54
"2024-12-09 11:57:11,616",36.76,46.14,42.26,3.74,1.53
"2024-12-09 11:57:11,797",37.19,46.3,42.55,3.61,1.54
"2024-12-09 11:57:11,984",40.03,47.0,42.42,4.43,3.58
"2024-12-09 11:57:12,232",54.79,48.14,42.58,5.32,3.92
"2024-12-09 11:57:12,443",44.33,46.28,42.37,3.74,1.57
"2024-12-09 11:57:12,622",36.55,46.24,42.36,3.71,1.56
"2024-12-09 11:57:12,780",36.37,45.91,42.24,3.52,1.54
