timestamp,fwd,bwd,bwd_inner,bwd_allreduce,step
"2024-12-09 10:05:38,107",303.35,174.19,156.81,17.02,12.29
"2024-12-09 10:05:38,335",42.75,75.0,47.59,27.26,2.06
"2024-12-09 10:05:38,563",38.91,83.9,43.29,40.45,1.68
"2024-12-09 10:05:38,762",39.65,57.69,42.96,14.56,1.56
"2024-12-09 10:05:38,964",38.86,63.55,42.82,20.57,1.57
"2024-12-09 10:05:39,168",38.39,64.19,42.58,21.46,1.56
"2024-12-09 10:05:39,367",40.8,51.89,44.01,7.68,1.66
"2024-12-09 10:05:39,578",46.73,46.59,42.64,3.77,2.76
"2024-12-09 10:05:39,778",41.9,49.77,45.21,4.37,1.64
"2024-12-09 10:05:39,985",42.79,50.15,45.81,4.09,2.92
"2024-12-09 10:05:40,180",41.35,46.85,42.73,3.95,1.75
"2024-12-09 10:05:40,374",38.64,54.82,45.07,9.58,1.55
"2024-12-09 10:05:40,568",38.88,53.55,48.78,4.54,1.91
"2024-12-09 10:05:40,755",38.42,49.67,42.88,6.6,1.54
"2024-12-09 10:05:40,942",38.76,47.7,43.05,4.47,1.62
"2024-12-09 10:05:41,140",39.47,57.48,45.61,11.63,1.67
"2024-12-09 10:05:41,350",39.88,66.4,42.75,23.49,1.57
"2024-12-09 10:05:41,549",38.49,61.78,42.78,18.8,1.61
"2024-12-09 10:05:41,750",38.71,59.05,42.89,16.01,1.7
"2024-12-09 10:05:41,940",39.78,47.12,42.65,4.3,1.59
"2024-12-09 10:05:42,131",38.33,52.56,42.82,9.55,1.62
"2024-12-09 10:05:42,321",38.01,53.83,42.82,10.86,1.58
"2024-12-09 10:05:42,538",39.22,76.75,42.97,33.6,1.58
"2024-12-09 10:05:42,743",38.77,64.77,48.27,16.26,1.65
"2024-12-09 10:05:42,956",39.24,71.34,42.74,28.43,1.59
"2024-12-09 10:05:43,142",38.57,46.59,42.69,3.75,1.6
"2024-12-09 10:05:43,335",38.35,54.02,42.75,11.11,1.56
"2024-12-09 10:05:43,531",38.88,57.28,47.55,9.49,1.66
"2024-12-09 10:05:43,735",40.24,56.46,51.56,4.58,2.0
"2024-12-09 10:05:43,931",39.47,54.41,46.19,8.0,1.6
"2024-12-09 10:05:44,125",39.2,53.94,42.99,10.79,1.57
"2024-12-09 10:05:44,313",38.49,48.7,42.39,6.16,1.58
"2024-12-09 10:05:44,522",38.14,71.71,42.87,28.62,1.63
"2024-12-09 10:05:44,736",38.63,73.37,42.7,30.5,1.56
"2024-12-09 10:05:44,936",37.5,65.35,45.94,19.23,1.57
"2024-12-09 10:05:45,144",38.28,70.52,45.44,24.91,1.59
"2024-12-09 10:05:45,343",39.59,53.57,48.28,5.05,1.66
"2024-12-09 10:05:45,544",38.52,61.9,42.56,19.18,1.57
"2024-12-09 10:05:45,747",38.67,64.55,43.03,21.36,1.56
"2024-12-09 10:05:45,935",38.01,48.85,42.94,5.73,1.55
"2024-12-09 10:05:46,125",38.63,50.75,42.9,7.71,1.57
"2024-12-09 10:05:46,322",37.62,61.27,42.62,18.48,1.56
"2024-12-09 10:05:46,536",38.7,75.61,43.28,32.18,1.56
"2024-12-09 10:05:46,745",37.56,74.66,42.86,31.66,1.57
"2024-12-09 10:05:46,944",39.42,58.31,42.79,15.36,1.66
"2024-12-09 10:05:47,133",38.84,47.56,42.86,4.53,1.57
"2024-12-09 10:05:47,332",39.45,55.76,43.18,12.4,1.61
"2024-12-09 10:05:47,528",37.93,59.11,42.96,16.01,1.57
"2024-12-09 10:05:47,702",37.56,58.39,42.71,15.53,1.58
